City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Itarema,BR,-2.9248,-39.9167,78.4,82,100,8.01,overcast clouds
152,Villanueva De La Serena,ES,38.9766,-5.7974,42.84,69,1,2.1,clear sky
153,Cayenne,GF,4.9333,-52.3333,80.1,88,75,5.99,broken clouds
154,Tingo Maria,PE,-9.2895,-76.0088,68.79,98,100,1.54,overcast clouds
155,Palmer,US,42.1584,-72.3287,36.63,84,1,3.44,clear sky
156,Pomabamba,PE,-8.8333,-77.4667,51.98,82,100,1.16,light rain
157,Linhares,BR,-19.3911,-40.0722,67.19,93,17,3.02,few clouds
158,Saint Anthony,US,45.0205,-93.218,53.62,67,1,4.0,clear sky
159,Tasiilaq,GL,65.6145,-37.6368,14.38,80,99,7.2,overcast clouds
160,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,57.7,80,100,12.57,overcast clouds
161,North Bend,US,43.4065,-124.2243,52.86,95,90,16.11,overcast clouds
162,Nome,US,64.5011,-165.4064,26.67,86,90,18.41,overcast clouds
163,Nanakuli,US,21.3906,-158.1547,80.55,67,20,6.91,few clouds
164,Westport,US,41.1415,-73.3579,47.17,69,1,4.14,clear sky
165,Puerto Palomas,MX,31.7667,-107.6167,58.33,32,86,3.4,overcast clouds
166,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,29,0,18.41,clear sky
167,San Luis,AR,-33.295,-66.3356,51.1,47,77,7.47,broken clouds
168,Mayo,US,38.8876,-76.5119,46.38,84,1,4.61,clear sky
169,Sitka,US,57.0531,-135.33,46.29,66,20,6.91,light rain
170,Guanica,PR,17.9716,-66.908,81.01,80,18,4.0,few clouds
171,Fort Nelson,CA,58.8053,-122.7002,31.59,100,90,5.75,light snow
172,Santa Isabel,BR,-23.3156,-46.2214,68.65,96,60,1.68,broken clouds
173,Bodden Town,KY,19.2833,-81.25,76.93,96,100,3.29,overcast clouds
174,Vestmanna,FO,62.1564,-7.1664,40.12,100,90,14.97,drizzle
175,Marienburg,PL,54.0359,19.0266,49.05,73,100,17.94,overcast clouds
176,Sarandi,BR,-23.4436,-51.8739,67.59,88,84,2.86,broken clouds
177,Traverse City,US,44.7631,-85.6206,46.99,77,1,10.36,clear sky
178,Chapais,CA,49.7834,-74.8492,33.58,89,81,10.85,broken clouds
179,Ketchikan,US,55.3422,-131.6461,43.27,87,90,26.46,moderate rain
180,Touros,BR,-5.1989,-35.4608,79.7,86,79,8.5,broken clouds
181,Saldanha,ZA,-33.0117,17.9442,60.03,66,78,11.25,broken clouds
182,Coracora,PE,-15.0333,-73.7833,47.03,49,14,0.56,few clouds
183,Nuuk,GL,64.1835,-51.7216,32.61,59,75,18.41,light shower snow
184,Barrhead,GB,55.7992,-4.3929,51.33,89,90,5.99,overcast clouds
185,Kralendijk,BQ,12.15,-68.2667,82.38,78,75,14.97,broken clouds
186,Hamilton,US,39.1834,-84.5333,40.77,80,1,1.01,clear sky
187,Dakar,SN,14.6937,-17.4441,77.88,71,64,12.28,broken clouds
188,Quiruvilca,PE,-7.9667,-78.2,39.33,88,100,1.86,overcast clouds
189,Marion,US,39.7684,-86.1555,38.71,88,1,0.0,clear sky
190,Filadelfia,US,39.9523,-75.1638,42.94,66,20,1.01,few clouds
191,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.47,98,100,2.15,light rain
192,Loanda,AO,-8.8368,13.2343,76.62,80,100,4.27,overcast clouds
193,Havelock,US,34.8791,-76.9013,51.75,74,100,3.0,overcast clouds
194,Carauari,BR,-4.8828,-66.8958,73.0,98,67,1.34,broken clouds
195,Custodia,BR,-8.0875,-37.6431,75.16,65,97,4.65,overcast clouds
196,Gbarnga,LR,6.9956,-9.4722,69.84,99,100,0.4,overcast clouds
197,La Plata,AR,-34.9215,-57.9545,56.97,66,96,10.83,overcast clouds
198,Vernon,CA,50.2581,-119.2691,39.29,82,43,9.22,scattered clouds
199,Acajutla,SV,13.5928,-89.8275,77.65,75,43,5.79,scattered clouds
200,Black Forest,US,39.0131,-104.7008,51.8,44,1,1.01,clear sky
201,San Patricio,US,28.017,-97.5169,60.82,64,0,6.17,clear sky
202,Diego De Almagro,CL,-26.3667,-70.05,57.02,54,0,0.45,clear sky
203,Mackenzie,CA,55.2999,-123.1698,35.82,93,90,11.5,overcast clouds
204,Juneau,US,58.3019,-134.4197,42.22,95,90,0.0,overcast clouds
205,Porto Novo,BJ,6.4965,2.6036,77.04,87,90,2.77,overcast clouds
206,Conil,FR,44.9673,3.7177,26.01,99,66,5.95,broken clouds
207,Porangatu,BR,-13.4408,-49.1486,70.75,95,100,1.34,overcast clouds
208,Tessalit,ML,20.1986,1.0114,76.84,19,0,6.51,clear sky
209,Uarini,BR,-2.99,-65.1083,73.36,96,79,1.03,broken clouds
210,Ilulissat,GL,69.2167,-51.1,-0.24,74,32,7.45,scattered clouds
211,Teahupoo,PF,-17.8333,-149.2667,75.16,73,99,8.3,overcast clouds
212,Vila Velha,BR,-20.3297,-40.2925,73.35,85,75,3.0,broken clouds
213,Melilla,ES,35.2937,-2.9383,55.78,58,87,5.75,overcast clouds
214,Brae,GB,60.3964,-1.353,49.91,91,100,5.46,overcast clouds
215,Tucuman,AR,-26.8241,-65.2226,51.8,93,90,6.91,light intensity drizzle
216,Luderitz,NA,-26.6481,15.1594,58.75,70,43,16.35,scattered clouds
217,Saint-Georges,GD,12.0564,-61.7485,80.15,81,20,14.36,few clouds
218,Pitimbu,BR,-7.4706,-34.8086,77.59,81,44,7.99,scattered clouds
219,Ponedera,CO,10.641,-74.7503,82.54,93,88,4.41,overcast clouds
220,La Rioja,ES,42.25,-2.5,37.49,97,58,4.34,broken clouds
221,Lucea,JM,18.451,-78.1736,76.86,76,97,1.52,overcast clouds
222,Paysandu,UY,-32.3214,-58.0756,58.6,63,91,12.48,overcast clouds
223,Port Hardy,CA,50.6996,-127.4199,42.8,100,90,5.75,overcast clouds
224,Dabakala,CI,8.3667,-4.4333,72.25,94,14,4.63,few clouds
225,Maldonado,UY,-34.6667,-54.9167,57.22,65,100,12.64,overcast clouds
226,Loiza,PR,18.4313,-65.8802,80.87,85,20,0.0,few clouds
227,Sal Rei,CV,16.1833,-22.9167,73.96,72,11,12.88,few clouds
228,Ellsworth,US,44.5434,-68.4195,37.85,75,75,1.01,broken clouds
229,Pio Ix,BR,-6.8375,-40.5792,76.69,60,94,0.69,overcast clouds
230,Carballo,ES,43.213,-8.691,49.91,91,64,3.15,broken clouds
231,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,83,99,17.0,overcast clouds
232,Japura,ID,-0.3167,102.35,91.69,53,94,2.93,overcast clouds
233,Vidalia,US,32.2177,-82.4135,48.2,87,90,8.05,moderate rain
234,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.38,92,34,0.85,scattered clouds
235,Taltal,CL,-25.4,-70.4833,60.3,77,0,1.07,clear sky
236,Wasilla,US,61.5814,-149.4394,35.06,76,90,4.61,light snow
237,Aquiraz,BR,-3.9014,-38.3911,81.18,84,88,6.29,overcast clouds
238,Caravelas,BR,-17.7125,-39.2481,74.82,81,95,6.58,overcast clouds
239,Qasigiannguit,GL,68.8193,-51.1922,1.08,75,38,6.4,scattered clouds
240,Roseburg,US,43.2165,-123.3417,49.33,92,54,3.83,broken clouds
241,Taxco,MX,18.55,-99.6,60.84,83,62,3.67,broken clouds
242,Evans,US,33.5337,-82.1307,49.21,56,100,4.0,overcast clouds
243,Jaciara,BR,-15.9653,-54.9683,73.06,92,100,1.95,light rain
244,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,88,75,24.05,broken clouds
245,Naron,ES,43.5167,-8.1528,51.04,85,60,5.75,broken clouds
246,Rochelle,FR,46.25,-1.0,37.49,93,0,5.75,clear sky
247,Santa Rosa,PH,14.3122,121.1114,93.18,65,77,11.3,broken clouds
248,Yomou,GN,7.5603,-9.2653,68.81,99,96,1.07,overcast clouds
249,Alto Araguaia,BR,-17.3147,-53.2153,69.71,96,100,3.65,overcast clouds
250,Kangaatsiaq,GL,68.3065,-53.4641,19.67,61,48,6.62,scattered clouds
251,Mana,GF,5.6592,-53.7767,76.78,92,93,6.64,overcast clouds
252,Angola,AO,-12.5,18.5,63.3,85,10,0.43,clear sky
253,Puerto Carreno,CO,6.189,-67.4859,77.25,82,100,4.16,overcast clouds
254,Concepcion,CL,-36.827,-73.0498,53.4,87,20,8.05,few clouds
255,Santiago Del Estero,AR,-27.7951,-64.2615,52.88,65,100,12.21,overcast clouds
256,Kolokani,ML,13.5728,-8.0339,79.65,44,100,3.98,overcast clouds
257,Sechura,PE,-5.5569,-80.8222,65.25,81,49,12.53,scattered clouds
258,Athabasca,CA,54.7169,-113.2854,37.81,94,72,2.21,broken clouds
259,Porto Velho,BR,-8.7619,-63.9039,75.25,94,75,2.3,light rain
260,Cap-Aux-Meules,CA,47.3821,-61.8597,41.05,52,75,14.97,broken clouds
261,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.89,89,97,8.32,overcast clouds
262,Tecoanapa,MX,16.5167,-98.75,78.55,82,100,3.53,overcast clouds
263,Dingle,PH,10.9995,122.6711,86.85,69,88,9.24,overcast clouds
264,Nicoya,CR,10.1483,-85.452,74.75,97,89,0.81,moderate rain
265,Concordia,AR,-31.393,-58.0209,59.79,66,65,11.01,broken clouds
266,Sipe Sipe,BO,-17.45,-66.3833,61.29,72,95,1.45,overcast clouds
267,Sassandra,CI,4.95,-6.0833,76.23,92,61,9.08,moderate rain
268,Neepawa,CA,50.2289,-99.4664,46.81,73,63,13.38,broken clouds
269,Rolla,US,37.9514,-91.7713,41.22,55,1,5.01,clear sky
270,Andrelandia,BR,-21.7397,-44.3092,56.37,93,82,2.06,broken clouds
271,Petrolina,BR,-9.3986,-40.5008,77.05,100,0,2.3,clear sky
272,Fare,PF,-16.7,-151.0167,79.48,73,93,10.22,light rain
273,Maceio,BR,-9.6658,-35.7353,80.04,94,40,8.05,scattered clouds
274,Praia,CV,14.9215,-23.5087,75.74,78,20,12.66,few clouds
275,Atar,MR,20.5169,-13.0499,71.49,42,44,8.97,scattered clouds
276,Paita,PE,-5.0892,-81.1144,64.47,84,46,11.18,scattered clouds
277,Cheyenne,US,41.14,-104.8203,52.07,40,1,4.61,clear sky
278,Bousse,BF,12.6606,-1.8922,76.57,40,1,4.18,clear sky
279,Nouadhibou,MR,20.931,-17.0347,68.59,73,0,16.06,clear sky
280,Smithers,CA,54.7804,-127.1743,32.32,100,1,3.44,clear sky
281,Lompoc,US,34.6391,-120.4579,58.19,93,1,0.0,clear sky
282,Cacoal,BR,-11.4386,-61.4472,73.42,97,100,2.51,overcast clouds
283,Grand Forks,US,47.9417,-97.4337,51.73,74,90,11.5,overcast clouds
284,Ciudad Arce,SV,13.8403,-89.4472,70.81,90,38,3.11,scattered clouds
285,Porto Santo,PT,33.072,-16.3415,67.91,68,75,12.66,broken clouds
286,Harrisonville,US,38.6533,-94.3488,47.41,84,1,0.0,clear sky
