City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Corn Island,NI,82.58,broken clouds,12.1694,-83.0418,
409,Manati,PR,80.67,few clouds,18.4275,-66.4921,
410,Sikasso,ML,76.86,few clouds,10.9167,-7.0,
411,Araouane,ML,77.27,few clouds,18.9048,-3.5265,
412,Playas,EC,70.43,broken clouds,-2.6333,-80.3833,
413,Conde,BR,76.46,few clouds,-7.2597,-34.9075,
414,Bani,DO,77.86,scattered clouds,18.2833,-70.3333,
418,Tulum,MX,76.93,scattered clouds,20.2167,-87.4667,
419,Nautla,MX,71.06,broken clouds,20.2167,-96.7833,
420,Black River,JM,77.0,overcast clouds,18.0264,-77.8487,
423,Viamao,BR,70.68,light rain,-30.0811,-51.0233,
424,Piranhas,BR,71.51,overcast clouds,-16.4269,-51.8222,
425,Clemencia,CO,81.99,overcast clouds,10.5665,-75.325,
426,Cabimas,VE,79.65,scattered clouds,10.3883,-71.4399,
429,Gao,ML,79.86,clear sky,16.6362,1.637,
431,Tomatlan,MX,73.4,few clouds,19.9333,-105.25,
432,Navrongo,GH,78.12,overcast clouds,10.8956,-1.0921,
434,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,
436,Salinopolis,BR,79.12,scattered clouds,-0.6136,-47.3561,
438,Ailigandi,PA,78.33,scattered clouds,9.2333,-78.0167,
439,Aripuana,BR,73.71,light rain,-9.1667,-60.6333,
440,Ormond Beach,US,70.09,mist,29.2858,-81.0559,
442,Buckeye,US,76.53,overcast clouds,33.3703,-112.5838,
